state,year,co2_per_cap,gdp_per_cap,pop_size,region,firm_num,employees,payroll_thousands,fossil_fuels,renewables,petroleum,coal,natural_gas
Alaska,2013,49.08860629,69596,737442,South,140,13029,1451234.039,600660,20445,254704,14819,332963
Arizona,2013,14.34216299,38292,6630799,South,187,11234,787129.5919,1289119,122654,514077,454865,340375
Arkansas,2013,23.1240684,35848,2957957,West,350,8365,544623.0386,936796,121643,335191,327099,286352
California,2013,9.384568094,53746,38414128,South,623,25806,2261377.662,5755210,871659,3357479,38151,2483208
Colorado,2013,17.35870018,50426,5271132,South,1185,28581,2799572.611,1303825,123010,472313,363532,487445
Connecticut,2013,9.729876392,62473,3597168,Northeast,50,1243,122158.5505,560141,40850,323148,7679,241509
Delaware,2013,14.69709397,60557,925353,West,11,211,17106.26757,213411,7466,98699,18254,100106
District of Columbia,2013,4.464698094,159356,649540,West,4,0,0,53357,1147,19863,4,34315
Florida,2013,11.32462547,37926,19594467,West,223,4185,262191.4238,3273949,317707,1588718,505155,1245287
Georgia,2013,13.51140092,42332,9991562,West,119,4822,265399.9426,1928374,270553,905786,426184,635287
Hawaii,2013,13.13206958,49479,1408765,South,7,101,8438.47805,252836,28493,240366,15306,2805
Idaho,2013,10.60277718,34795,1612785,South,116,2739,192631.7682,270907,139555,161565,7965,106356
Illinois,2013,18.01455129,51982,12889580,Midwest,482,8981,595644.3811,3266060,233774,1214951,1026925,1073734
Indiana,2013,30.6825124,43881,6570518,Midwest,186,6031,382316.5617,2632450,150319,779603,1198611,682842
Iowa,2013,26.1947388,48147,3092224,Midwest,66,1904,94675.248,1125533,384603,433463,402402,331358
Kansas,2013,24.14816401,45440,2894630,Midwest,986,10200,552362.5311,963626,132038,356441,326817,288840
Kentucky,2013,31.62441742,38331,4398500,West,427,18369,1103994.765,1737960,89320,604838,914774,236423
Louisiana,2013,47.08815209,43961,4627491,West,1343,52790,4028089.032,3785289,138629,2077718,228055,1499625
Maine,2013,12.49268125,37394,1328778,Northeast,23,0,4304.425014,253371,161239,191559,1657,66014
Maryland,2013,9.972978619,53614,5936040,West,62,1206,66502.16926,847590,77866,480774,183191,207422
Massachusetts,2013,9.77818719,61721,6708810,Northeast,66,892,64910.80289,1030817,80574,577022,42208,434893
Michigan,2013,16.40320202,41072,9900506,Midwest,332,5614,373243.5631,2304114,194778,856379,658172,828483
Minnesota,2013,16.58506042,52030,5420541,Midwest,129,5809,503286.192,1328816,233837,611908,267695,474891
Mississippi,2013,20.39468053,31648,2990976,West,352,6106,439508.1325,942046,71209,430772,97767,427323
Missouri,2013,21.97326542,42591,6043708,Midwest,164,3602,194914.7527,1689057,94670,623234,806549,280845
Montana,2013,31.54567913,38473,1014402,South,374,7447,608751.9723,422138,117734,177720,166104,81900
Nebraska,2013,28.5668432,51531,1869300,Midwest,107,977,50309.46386,705960,136283,239819,292956,178752
Nevada,2013,13.00904613,43054,2790366,South,213,14526,1190613.721,569355,75618,229896,64838,281972
New Hampshire,2013,10.81154643,48855,1322660,Northeast,38,220,14382.15778,214922,58036,148377,16778,55649
New Jersey,2013,12.09109206,55761,8907384,Northeast,64,1329,85771.70049,1704155,88743,999865,25910,712948
New Mexico,2013,25.49247924,39802,2086890,South,639,19163,1346130.184,741402,45244,239390,256377,252867
New York,2013,8.262644639,62605,19691032,Northeast,255,4123,265830.0167,2629451,409154,1289661,68707,1315282
North Carolina,2013,12.69624329,42848,9845432,West,113,3243,152834.7159,1734549,220377,829316,493771,445898
North Dakota,2013,78.49358647,67722,723626,Midwest,438,22075,1983954.983,701050,97385,228309,393193,88285
Ohio,2013,20.04799074,45291,11572232,Midwest,578,10943,665345.8598,3170468,148555,1154386,1104486,954374
Oklahoma,2013,26.98911742,43069,3853405,West,2763,58081,4617420.441,1537652,169985,531642,335925,682277
Oregon,2013,9.954099129,48280,3928030,South,116,1335,65545.32339,608017,464477,334966,38900,244025
Pennsylvania,2013,19.41559831,48380,12783536,Northeast,841,33228,2551786.369,3472175,217156,1210173,1126118,1176660
Rhode Island,2013,9.687934532,46441,1052856,Northeast,16,146,8723.96623,171472,5705,86276,0,88274
South Carolina,2013,14.78452964,35661,4768498,West,55,1018,50736.7752,975757,144874,502837,257319,236710
South Dakota,2013,18.21903061,46960,845270,Midwest,54,1085,59486.52746,231578,127797,117255,34246,83871
Tennessee,2013,15.17826768,41493,6496130,West,131,3328,168240.0265,1344036,218554,685915,399768,285308
Texas,2013,23.81448864,51844,26500674,West,7034,234893,22022749.78,11616497,551219,5971214,1597357,4143328
Utah,2013,23.07412822,42248,2903685,South,451,11086,812240.5797,897843,24777,291404,355230,258909
Vermont,2013,9.248495923,42778,627129,Northeast,43,468,27587.36751,89119,36060,81888,0,9746
Virginia,2013,12.71185159,51105,8267875,West,177,8667,506705.6036,1512226,146946,818748,290508,435247
Washington,2013,10.72665794,53987,6973281,South,134,2361,158382.3959,1113069,933321,728673,74955,327840
West Virginia,2013,50.62102499,35778,1852985,West,482,33574,2382620.808,1113141,59987,194329,771188,153875
Wisconsin,2013,17.60203828,45582,5743653,Midwest,141,2456,161463.8264,1418732,169351,531411,454554,453608
Wyoming,2013,117.6408046,60743,583131,South,683,26557,2070848.376,839683,54458,165581,520699,155960
Alabama,2014,25.4208733,36524,4846411,West,180,7001,466281.0391,1724891,276971,519666,575912,651532
Alaska,2014,47.62253645,67367,737046,South,146,12752,1525818.471,581369,21750,235572,18225,329585
Arizona,2014,13.83608299,38293,6728783,South,183,11920,817508.1659,1256577,141332,515002,447849,315448
Arkansas,2014,23.25710732,36228,2966835,West,349,8101,558619.4183,939788,122024,338026,339214,274767
California,2014,9.228637721,55247,38792291,South,634,27276,2243988.545,5702418,876758,3371579,39486,2417476
Colorado,2014,17.10363082,51899,5355588,South,1228,30741,3225102.742,1313834,131320,483029,350526,499668
Connecticut,2014,9.764206921,62285,3594762,Northeast,49,1903,209315.3092,559695,43850,322240,9097,240614
Delaware,2014,14.20988752,62761,935968,West,14,161,12626.48698,213655,7895,100277,10238,106854
District of Columbia,2014,4.546584303,159442,659836,West,6,0,0,55217,1249,20742,48,35316
Florida,2014,11.46412846,38414,19905569,West,229,4343,264462.0552,3350291,313697,1610828,557882,1246670
Georgia,2014,13.86532334,42929,10097132,West,119,4845,284085.5354,1985059,284771,872483,482657,666771
Hawaii,2014,12.95540173,49212,1420257,South,8,152,9028.758326,250786,30419,236620,17241,2805
Idaho,2014,10.15411003,34949,1634806,South,122,2978,219749.6285,260704,154656,163832,7472,94319
Illinois,2014,18.16461473,52605,12882189,Midwest,483,9089,623139.2896,3304158,240692,1220342,1017855,1116417
Indiana,2014,31.3585576,44626,6597880,Midwest,182,6008,391673.0279,2709827,155579,789201,1221492,727758
Iowa,2014,26.33880059,49144,3109481,Midwest,72,2056,109292.1091,1137920,406232,439727,401151,342431
Kansas,2014,24.04817628,45927,2902507,Midwest,1027,10988,615033.0723,965093,150193,368066,316572,289697
Kentucky,2014,31.59123033,38429,4412617,West,419,15950,1008538.495,1754132,89991,597274,913452,261233
Louisiana,2014,46.97794575,44372,4648990,West,1389,57820,4470653.619,3810396,158109,2052439,209973,1563857
Maine,2014,12.47880107,37981,1330256,Northeast,19,0,4448.677569,252829,157292,194366,2142,62355
Maryland,2014,10.29229102,53811,5975346,West,59,1098,59425.95877,878993,77132,484489,201220,217440
Massachusetts,2014,9.444682289,62050,6755124,Northeast,66,848,66572.47971,1011008,87672,571239,29871,433246
Michigan,2014,16.38715062,41768,9916306,Midwest,315,5877,385775.2904,2329372,208606,870759,618479,878699
Minnesota,2014,17.39010926,52899,5457125,Midwest,138,6223,518043.0202,1385193,262115,607762,313073,489901
Mississippi,2014,21.41346937,31337,2993443,West,349,6198,450954.8963,982217,72987,440093,116537,440003
Missouri,2014,21.80141353,42545,6063827,Midwest,168,3400,193508.8651,1694147,94399,635718,780707,301360
Montana,2014,31.56602675,38661,1023252,South,393,7647,620375.2915,423897,137260,172831,175357,79260
Nebraska,2014,27.6689078,52680,1882980,Midwest,114,1168,60679.27331,691958,140708,242555,276544,179544
Nevada,2014,13.0360595,43216,2838281,South,198,13879,1131186.605,568174,77310,237511,79230,259438
New Hampshire,2014,11.29521474,49551,1327996,Northeast,42,260,16873.07551,225508,60610,157727,14867,58841
New Jersey,2014,12.6973913,55679,8938844,Northeast,65,1392,87663.14442,1799165,94025,1005558,30731,798602
New Mexico,2014,24.02224431,40813,2085567,South,695,21717,1613434.491,711338,46803,246508,215348,256085
New York,2014,8.592901929,62944,19748858,Northeast,256,3731,250054.8285,2747588,430180,1342030,64655,1386580
North Carolina,2014,12.7560426,43260,9940387,West,115,3233,151612.0915,1761282,200727,832355,501592,460876
North Dakota,2014,79.04978109,70684,740040,Midwest,486,25691,2410904.124,723128,110791,242403,399195,90629
Ohio,2014,19.98793136,46364,11596998,Midwest,593,11060,731158.1471,3208044,151277,1147762,1057377,1044986
Oklahoma,2014,27.06457608,44447,3879610,West,2889,58924,4962139.602,1543910,170060,556153,336080,665799
Oregon,2014,9.568891232,48378,3971202,South,113,1272,61824.74661,588438,486204,339434,34238,225576
Pennsylvania,2014,19.17339905,49193,12793767,Northeast,882,32193,2560421.921,3486721,214928,1230104,1039161,1257090
Rhode Island,2014,10.04827914,46798,1054907,Northeast,19,151,10632.78344,178774,7453,90664,0,91259
South Carolina,2014,15.50994376,36213,4829160,West,56,1032,49887.89981,1021676,147601,500897,305656,235860
South Dakota,2014,17.93030385,46844,853304,Midwest,55,1172,65715.18719,230463,139114,117723,33062,83464
Tennessee,2014,15.80688658,41852,6547779,West,126,3265,166435.2773,1411675,187566,698891,427509,311966
Texas,2014,23.78509747,53385,26979078,West,7389,250806,24390754.27,11752655,606750,6054161,1585961,4219128
Utah,2014,22.17695512,42970,2944498,South,483,11370,811792.5804,875384,29161,286227,344054,252691
Vermont,2014,9.413386474,42903,626767,Northeast,40,423,25819.367,90377,35379,81968,0,10848
Virginia,2014,12.48784536,50861,8328098,West,183,9772,566619.6069,1500290,162353,818022,278183,437322
Washington,2014,10.39194038,54773,7063166,South,140,2505,151610.2791,1092335,947941,715873,76547,319784
West Virginia,2014,53.22512334,36234,1848751,West,496,29194,2026475.49,1163308,55864,191515,816460,161661
Wisconsin,2014,17.55381433,46469,5759432,Midwest,145,2996,211910.7487,1437711,177150,564769,417096,477923
Wyoming,2014,112.270325,61639,584304,South,710,26281,2149719.899,803967,55408,175326,489300,141763
