state,year,co2_per_cap,gdp_per_cap,pop_size,region,firm_num,employees,payroll_thousands,fossil_fuels,renewables,petroleum,coal,natural_gas
New Jersey,1999,14.89307134,51571,8359592,Northeast,101,2189,144599.9984,1988140,40467,1162230,88984,743561
New Mexico,1999,31.19327553,37395,1808082,South,516,11945,655852.2288,768657,10249,241182,298105,231312
New York,1999,10.94121744,52368,18882725,Northeast,290,3523,200164.5663,3150303,420320,1525301,317998,1308656
North Carolina,1999,17.76243399,41811,7949361,West,112,3521,172194.9166,1831977,142638,867739,742398,224763
North Dakota,1999,76.67723695,33710,644259,Midwest,189,3583,229141.2264,588336,30685,124037,411323,58962
Ohio,1999,22.91041894,42013,11335454,Midwest,665,11252,582323.7284,3525279,93557,1290367,1382205,873157
Oklahoma,1999,28.25017376,33045,3437147,West,1982,22495,1128501.964,1404456,55321,493090,360598,550768
Oregon,1999,12.69910113,35552,3393941,South,129,1924,94196.68075,679626,510895,395064,38604,246999
Pennsylvania,1999,21.5838396,41016,12263805,Northeast,764,17102,928488.0633,3473079,110245,1345656,1414957,713570
Rhode Island,1999,12.68740352,40034,1040402,Northeast,27,0,0,218281,4403,97520,41,120720
South Carolina,1999,19.72484843,35728,3974682,West,49,0,0,1028239,96968,458126,402153,167978
South Dakota,1999,17.99011743,33574,750412,Midwest,48,0,0,196134,73106,115592,46304,36009
Tennessee,1999,21.72484254,38930,5638706,West,149,4151,191319.1002,1624518,131838,689813,648342,286375
Texas,1999,30.56684869,43825,20558220,West,5355,102337,6760942.97,11561844,98743,5898080,1530426,4138086
Utah,1999,28.27343269,38084,2203482,South,263,7526,428500.957,810023,21238,257585,384060,169255
Vermont,1999,10.749434,35087,604683,Northeast,52,0,0,93992,20800,83849,2016,8129
Virginia,1999,16.3138802,46223,7000174,West,285,10332,508350.9588,1560143,122836,831187,444542,287330
Washington,1999,14.37724944,50591,5842564,South,167,3064,182271.4594,1248464,1084137,851788,96875,302262
West Virginia,1999,63.80398709,32208,1811799,West,580,20256,1150172.004,1345028,14810,204336,993017,147675
Wisconsin,1999,19.85873482,41053,5332666,Midwest,144,2462,160951.684,1474177,116305,610729,480722,385142
Wyoming,1999,126.682663,49380,491780,South,547,15157,982672.1771,745714,14158,147886,496169,101660
Alabama,2000,31.93945968,33284,4452173,West,204,7286,443361.5164,1833286,263309,560633,904181,368472
Alaska,2000,70.54555762,57184,627963,South,98,7742,897169.5643,729758,12375,275502,16455,437972
Arizona,2000,16.68415176,39185,5160586,South,172,9956,521397.1698,1144386,102408,504891,432810,208137
Arkansas,2000,23.78118621,31834,2678588,West,248,3161,133613.4443,882085,108679,358392,267579,256114
California,2000,11.25103739,48223,33987977,South,736,19654,1220349.247,6103048,741805,3582109,70012,2456438
Colorado,2000,19.55200938,51524,4326921,South,879,12355,839911.1091,1193543,32002,444573,387879,370911
Connecticut,2000,12.60340286,61355,3411777,Northeast,63,719,46152.86391,629188,50924,429580,36246,163717
Delaware,2000,21.23674134,68992,786373,West,19,0,0,231276,2288,130954,50147,50181
District of Columbia,2000,7.516878013,138628,572046,West,3,0,0,69050,1353,34495,177,34377
Florida,2000,14.9368921,38860,16047515,West,203,5843,279663.0577,3245265,196685,1910520,760439,574460
Georgia,2000,20.56567018,45447,8227303,West,148,6598,355780.0876,2256045,222198,1015253,819530,421337
Hawaii,2000,15.49213486,44260,1213519,South,12,0,0,253044,20451,235315,17653,2975
Idaho,2000,12.08222067,34851,1299430,South,112,2367,121244.5515,255818,141037,167567,13732,74518
Illinois,2000,18.7949955,49145,12434161,Midwest,493,8939,494658.534,3319569,97693,1286709,1016555,1053319
Indiana,2000,39.13415036,41205,6091866,Midwest,215,5314,281189.2356,3022409,48676,861092,1595037,584850
Iowa,2000,26.49307783,39747,2929067,Midwest,78,1953,93590.20893,1046226,80729,404987,445888,233736
Kansas,2000,28.28842762,39923,2693681,Midwest,814,6567,299104.6947,1069132,9922,391680,362797,314868
Kentucky,2000,36.00870433,35513,4049021,West,478,20145,1054689.806,1827742,36286,596184,997621,234181
Louisiana,2000,51.41008769,40679,4471885,West,1190,41141,2529356.346,4058492,142355,2179390,253263,1625863
Maine,2000,17.54012303,36503,1277072,Northeast,19,0,0,317588,163031,259567,9980,48047
Maryland,2000,14.57343335,45619,5311034,West,83,0,0,1079014,54125,548060,312162,219360
Massachusetts,2000,12.96944681,54736,6361104,Northeast,93,1124,70158.08409,1212799,69458,740425,114658,357743
Michigan,2000,19.49268773,42225,9952450,Midwest,417,6447,396048.7573,2765145,118381,1001551,799800,984345
Minnesota,2000,19.86342074,47577,4933692,Midwest,141,6837,419741.2667,1399806,104661,678058,373775,367461
Mississippi,2000,21.59142494,29166,2848353,West,300,3909,173760.0197,916049,75390,456490,147481,312078
Missouri,2000,22.47076794,41920,5607285,Midwest,212,5056,222294.9669,1652686,23299,678138,688905,289044
Montana,2000,34.74323752,31899,903773,South,256,4348,267427.4719,411968,113792,165647,176779,69590
Nebraska,2000,24.2732609,41761,1713820,Midwest,112,1130,42875.00765,556267,43687,224817,206938,127600
Nevada,2000,22.48926435,49607,2018741,South,192,10113,669604.6119,627032,47142,235957,199339,194126
New Hampshire,2000,14.11424636,44460,1239882,Northeast,42,378,24258.12966,239474,38622,169234,44033,26397
New Jersey,2000,14.7082878,53701,8430621,Northeast,97,2478,181960.2667,1924730,41004,1192866,114734,626484
New Mexico,2000,31.95688127,37773,1821204,South,506,13193,723176.5689,796216,10635,233897,305513,259018
New York,2000,11.18842551,53827,19001780,Northeast,305,3717,208017.4174,3216316,430506,1607968,330844,1279693
North Carolina,2000,18.44928501,42193,8081614,West,122,3414,163971.3019,1935250,139516,911686,786114,240729
